listingId,version,area,address,propertyType,priceJpy,layout,areaSqm,landSqm,stationWalkMin,builtYearMonth,listedDate,listedYear,priorityRank,title,description,mainPhoto,subPhotos,layoutPhoto,docs
LST-2026-000123,,tokyo-shibuya,"東京都渋谷区xxx 1-2-3 ○○マンション",mansion,58000000,3LDK,75.0,,8,2018-04,2026-03-12,2026,A,"渋谷駅徒歩8分 デザイナーズマンション","陽当り良好、角部屋、ペット可",物件外観_0123.jpg,"室内_リビング_0123.jpg|室内_寝室_0123.jpg",間取り図_0123.png,"物件票_0123.pdf:summary|重要事項説明書_0123.pdf:important"
LST-2026-000124,,tokyo-meguro,"東京都目黒区yyy 4-5-6 △△レジデンス",mansion,72000000,2LDK,62.5,,5,2021-03,2026-03-15,2026,S,"目黒駅徒歩5分 駅近マンション","南向き、リフォーム済",main_0124.jpg,"kitchen_0124.jpg",layout_0124.png,"bukken_0124.pdf:summary"
LST-2026-000125,,tokyo-meguro,"東京都目黒区zzz 7-8-9",house,98000000,4LDK,110.0,150.0,12,2020-09,2026-03-18,2026,B,"目黒区戸建","南向き庭付き、駐車場2台",main_0125.jpg,"garden_0125.jpg|living_0125.jpg",layout_0125.png,"bukken_0125.pdf:summary|sateisho_0125.pdf:valuation"
LST-2026-000123,3,tokyo-shibuya,"東京都渋谷区xxx 1-2-3 ○○マンション",mansion,57500000,3LDK,75.0,,8,2018-04,2026-03-12,2026,A,"渋谷駅徒歩8分 デザイナーズマンション（価格改定）","陽当り良好、角部屋、ペット可、価格改定",物件外観_0123.jpg,"室内_リビング_0123.jpg|室内_寝室_0123.jpg",間取り図_0123.png,"物件票_0123_v2.pdf:summary|重要事項説明書_0123.pdf:important"
LST-2026-000200,,tokyo-minato,"東京都港区麻布台1-3-1 麻布台ヒルズレジデンス",mansion,480000000,3LDK,95.5,,4,2022-04,2026-04-01,2026,S,"麻布台ヒルズレジデンス 高層階","最上階の眺望、コンシェルジュ24時間",main_0200.jpg,"living_0200.jpg|view_0200.jpg",layout_0200.png,"bukken_0200.pdf:summary|jyuyo_0200.pdf:important"
LST-2026-000201,,tokyo-minato,"東京都港区赤坂6-10-12 赤坂タワーレジデンス",mansion,158000000,2LDK,65.0,,8,2019-09,2026-04-02,2026,A,"赤坂タワーレジデンス 中層階","南向き、24時間有人管理、共用ジム",main_0201.jpg,"living_0201.jpg|kitchen_0201.jpg",layout_0201.png,"bukken_0201.pdf:summary|jyuyo_0201.pdf:important"
LST-2026-000202,,tokyo-minato,"東京都港区高輪3-15-7",house,95000000,4LDK,120.0,145.0,13,2017-06,2026-04-03,2026,B,"高輪閑静住宅地 戸建","駐車場2台、二世帯対応、南向き庭",main_0202.jpg,"garden_0202.jpg|living_0202.jpg",layout_0202.png,"bukken_0202.pdf:summary|sateisho_0202.pdf:valuation"
LST-2026-000203,,tokyo-minato,"東京都港区六本木7-1-1 六本木グランドオフィス",office,320000000,,180.0,,3,2020-11,2026-04-04,2026,S,"六本木グランドオフィス 一棟貸し可","IDC級電源、24時間入退室、OAフロア",main_0203.jpg,"entrance_0203.jpg|floor_0203.jpg",layout_0203.png,"bukken_0203.pdf:summary|jyuyo_0203.pdf:important"
LST-2026-000204,,tokyo-minato,"東京都港区白金台4-9-15",retail,78000000,,55.0,,18,2014-03,2026-04-05,2026,B,"白金プラチナ通り 路面店","視認性抜群、飲食可、深夜営業可",main_0204.jpg,"interior_0204.jpg|signage_0204.jpg",layout_0204.png,"bukken_0204.pdf:summary"
LST-2026-000205,,tokyo-minato,"東京都港区三田5-22-3",land,240000000,,,165.0,14,,2026-04-06,2026,C,"三田駅徒歩14分 整形地","建築条件無し、第一種住居地域",main_0205.jpg,"surroundings_0205.jpg",,"bukken_0205.pdf:summary|sateisho_0205.pdf:valuation"
